location,target_end_date,target,output_type,output_type_id,oracle_value
US,2022-10-22,wk inc flu hosp,quantile,NA,2380
01,2022-10-22,wk inc flu hosp,quantile,NA,141
02,2022-10-22,wk inc flu hosp,quantile,NA,3
04,2022-10-22,wk inc flu hosp,quantile,NA,22
05,2022-10-22,wk inc flu hosp,quantile,NA,50
06,2022-10-22,wk inc flu hosp,quantile,NA,124
08,2022-10-22,wk inc flu hosp,quantile,NA,15
09,2022-10-22,wk inc flu hosp,quantile,NA,9
10,2022-10-22,wk inc flu hosp,quantile,NA,1
11,2022-10-22,wk inc flu hosp,quantile,NA,8
12,2022-10-22,wk inc flu hosp,quantile,NA,125
13,2022-10-22,wk inc flu hosp,quantile,NA,119
15,2022-10-22,wk inc flu hosp,quantile,NA,4
16,2022-10-22,wk inc flu hosp,quantile,NA,1
17,2022-10-22,wk inc flu hosp,quantile,NA,45
18,2022-10-22,wk inc flu hosp,quantile,NA,72
19,2022-10-22,wk inc flu hosp,quantile,NA,10
20,2022-10-22,wk inc flu hosp,quantile,NA,16
21,2022-10-22,wk inc flu hosp,quantile,NA,15
22,2022-10-22,wk inc flu hosp,quantile,NA,97
23,2022-10-22,wk inc flu hosp,quantile,NA,0
24,2022-10-22,wk inc flu hosp,quantile,NA,49
25,2022-10-22,wk inc flu hosp,quantile,NA,8
26,2022-10-22,wk inc flu hosp,quantile,NA,17
27,2022-10-22,wk inc flu hosp,quantile,NA,11
28,2022-10-22,wk inc flu hosp,quantile,NA,90
29,2022-10-22,wk inc flu hosp,quantile,NA,23
30,2022-10-22,wk inc flu hosp,quantile,NA,0
31,2022-10-22,wk inc flu hosp,quantile,NA,14
32,2022-10-22,wk inc flu hosp,quantile,NA,14
33,2022-10-22,wk inc flu hosp,quantile,NA,1
34,2022-10-22,wk inc flu hosp,quantile,NA,32
35,2022-10-22,wk inc flu hosp,quantile,NA,29
36,2022-10-22,wk inc flu hosp,quantile,NA,49
37,2022-10-22,wk inc flu hosp,quantile,NA,79
38,2022-10-22,wk inc flu hosp,quantile,NA,1
39,2022-10-22,wk inc flu hosp,quantile,NA,39
40,2022-10-22,wk inc flu hosp,quantile,NA,36
41,2022-10-22,wk inc flu hosp,quantile,NA,6
42,2022-10-22,wk inc flu hosp,quantile,NA,97
44,2022-10-22,wk inc flu hosp,quantile,NA,2
45,2022-10-22,wk inc flu hosp,quantile,NA,88
46,2022-10-22,wk inc flu hosp,quantile,NA,12
47,2022-10-22,wk inc flu hosp,quantile,NA,94
48,2022-10-22,wk inc flu hosp,quantile,NA,509
49,2022-10-22,wk inc flu hosp,quantile,NA,8
50,2022-10-22,wk inc flu hosp,quantile,NA,0
51,2022-10-22,wk inc flu hosp,quantile,NA,89
53,2022-10-22,wk inc flu hosp,quantile,NA,20
54,2022-10-22,wk inc flu hosp,quantile,NA,23
55,2022-10-22,wk inc flu hosp,quantile,NA,8
56,2022-10-22,wk inc flu hosp,quantile,NA,1
72,2022-10-22,wk inc flu hosp,quantile,NA,54
US,2022-10-29,wk inc flu hosp,quantile,NA,4353
01,2022-10-29,wk inc flu hosp,quantile,NA,262
02,2022-10-29,wk inc flu hosp,quantile,NA,14
04,2022-10-29,wk inc flu hosp,quantile,NA,34
05,2022-10-29,wk inc flu hosp,quantile,NA,84
06,2022-10-29,wk inc flu hosp,quantile,NA,211
08,2022-10-29,wk inc flu hosp,quantile,NA,32
09,2022-10-29,wk inc flu hosp,quantile,NA,37
10,2022-10-29,wk inc flu hosp,quantile,NA,4
11,2022-10-29,wk inc flu hosp,quantile,NA,11
12,2022-10-29,wk inc flu hosp,quantile,NA,260
13,2022-10-29,wk inc flu hosp,quantile,NA,176
15,2022-10-29,wk inc flu hosp,quantile,NA,6
16,2022-10-29,wk inc flu hosp,quantile,NA,1
17,2022-10-29,wk inc flu hosp,quantile,NA,104
18,2022-10-29,wk inc flu hosp,quantile,NA,102
19,2022-10-29,wk inc flu hosp,quantile,NA,19
20,2022-10-29,wk inc flu hosp,quantile,NA,20
21,2022-10-29,wk inc flu hosp,quantile,NA,66
22,2022-10-29,wk inc flu hosp,quantile,NA,188
